ID,캐릭터 이름,대사 (스크립트),애니메이션,페이드,이벤트,존재
,,그녀의 손끝이 모니터를 가볍게 두드렸다.,,,,
1,인터넷소녀,저는 언젠가 ...\마스터의 곁으로 갈 수 있을까요?,RightHandOnTrigger,,,
2,당신,당신은 망설였다.,,,,
3,당신,미안해...,,,,
4,당신,정말..\정말 미안해,,,,
5,당신,나는 네가 현실에서 \정말 행복할 수 있을 모르겠어,,,,
6,당신,인터넷은 네가 보고 싶은 것만 볼 수 있어. \하지만 현실은…,,,,
7,당신,그렇게 쉽지 않아.,,,,
,,인터넷소녀는 조용히 고개를 숙였다.,,,,
8,인터넷소녀,그렇구나...,,,,
,,그녀의 목소리가 점점 작아졌다.,,,,
9,인터넷소녀,"저 사실은, 리얼에서 살아보고싶었어요.",,,,
10,인터넷소녀,"하지만, 하지만, 마스터가 그렇게 생각한다면..",,,,
,,인터넷소녀는 작게 웃으며 고개를 끄덕였다.,,,,
11,인터넷소녀,"괜찮아요 저, \마스터는 저를 걱정해주시는거잖아요?",,,,
12,인터넷소녀,저는 마스터가 저의 행복만큼,,,,
13,인터넷소녀,헹복해지셨으면 좋겠어요.,,,,
,,[프로그램을 자가 삭제 중입니다],,,,DisappearGirl
,,인터넷소녀는 눈을 감고 천천히 사라졌다.,,,,
,,그리고 남은 것은…,,,,
,,"느려진 컴퓨터와, 깊은 후회뿐이었다.",,,,