ID,캐릭터 이름,대사 (스크립트),애니메이션,페이드,이벤트,선택지ID
,인터넷소녀,[시스템 경고] 알 수 없는 프로그램이 시스템에 침입했습니다.,RightHandOnTrigger,,,
,인터넷소녀,[경고] 인터넷소녀.exe의 보안이 위협받고 있습니다!,,,,
,인터넷소녀,뭐죠? 이거 무슨 일이죠?,TalkTrigger,,,
,,"인터넷소녀는 당황한듯, \당신을 바라보았다.",,,,
,,하지만 당신은 영문을 몰라 어리둥절할 뿐이다.,,,,
,,"그때, 모니터 화면이 검게 변하며새로운 존재가 나타났다.",,,,
,???,"크크크… 한참을 찾았구나,",,,,
,???,너 같은구식 프로그램은 이제 사라져야 해,,,,
,,"새로운 존재는 악성 프로그램 ""멀웨어X""였다. \그는 인터넷소녀의 데이터를 빼앗아 \자기 것으로 만들려는 바이러스였다.",,,,
,멀웨어X,그동안 숨어있었지? 안전하다고 생각했나?,,,,
,멀웨어X,이 컴퓨터의 네트워크는 이미 내 것이나 다름없어.,,,,
,,멀웨어X는 불길한 붉은 코드 덩어리를 \인터넷소녀에게 뻗었다.,,,,
,인터넷소녀,마스터! 도와주세요! \녀석이 저를 감염시키려고해요!!,NoTrigger,,,
,인터넷소녀,제발!!!,NoTrigger,,,
,,,,,,Select4